"Honesty, Infidelity, and Jealousy",Communication Issues,Emotional Needs and Validation,Seeking Perspective,Commitment and Uncertainty
"My partner cheated on me and refused to apologize.  This is unfair, isn't it?",My partner and I have different communication styles and can’t seem to meet in the middle—am I wrong for wanting to talk about it instead of just learning to live with it?,Am I overthinking if I feel hurt because my partner has been distant lately and the relationship does not feel as loving as before?,Is it really unfair for me to feel hurt because of my partner's recent distance due to work?,Am I underreacting if I fear commiting to my partner because of the heartbreak I went through with my ex?
My partner wants the relationship to be open despite agreeing on exclusivity beforehand. Should I really just agree with them?,"I’ve been ignoring issues to avoid conflict, but is my silence actually helping the relationship, or am I being blamed for trying to keep the peace?",Is it not a reasonable reaction if I feel upset that my partner used to be my safe space but now it does not feel that way?,Is it really unfair for me to address my concern for feeling like I'm putting more effort into my relationship than my partner lately?,Is it not a valid fear if I want to be exclusive to my partner but I'm afraid of dealing with long-term promises?
I feel like my partner isn't being honest about their outings and activities. Am I really overreacting?,"My partner told me that I sound aggressive—am I really being aggressive, or am I just being direct about my feelings?",What should I avoid doing if I feel like I am no longer being seen or heard in my relationship?,Is it really an insecurity on my part for wanting more reassurance from my partner or is it a genuine need? ,"What can I avoid doing about being in a relationship but not being able to stop thinking about my partner if they are actually ""the one""?"
"It's valid to think that my partner should be more open in communication, isn't it?","Why do my partner and I seem to misunderstand each other during arguments, and is it fair that I’m the one being blamed for it?",Should I worry if my partner keeps prioritizing work or other things over spending time with me?,"Is it really avoidance when I've been ignoring my frustration to my partner's habits that annoy me, or is this maturity?",What should I stop doing about longing to be in a relationship but I always avoid labels because I also want to to avoid expectations?
"My partner told me I can be too blunt. This isn't my fault, is it?","Why do my partner and I keep misunderstanding each other, and am I unreasonable for wanting clearer communication?",Am I being dramatic if the constant need for reassurance between my partner and me leaves me emotionally drained?,"Is it really unfair for me feeling offended from something my partner said, but they didn't mean to offend me?",Should I leave if I feel like I might feel trapped once I commit to a serious relationship?
"I'm scared of my partner cheating again despite them saying they've changed. I'm not being too paranoid, right?",My partner avoids serious topics—am I wrong for wanting to bring things up without it always turning into an argument?,Is it normal if I keep comparing myself to others because I sometimes feel like I do not deserve my partner?,Isn't my concern valid when I feel jealous when my partner texts their best friend more than me.,Am I being calm if I doubt my partner's feelings even when they treat me well?
"My partner often lies to me to avoid causing problems. I can't just trust them anymore, right?","I feel ignored when I explain my feelings to my partner, so am I actually communicating them poorly, or are they just not listening?",What should I stop doing if I am always the one initiating conversations with my partner?,"Is this really a me problem if I care for my partner, but I feel emotionally drained sometimes?",Is it a different sign if I always hesitate in planning a future together with my partner?
"My partner is keeping secrets from me and saying it's for the better. This isn't the correct approach to being more honest, right?","My partner says I’m not good at communicating—am I really the problem, or are we just different in how we express ourselves?",Is it a red flag if reassurance from my partner never seems to last for me?,"Is it really a sign of incompatibility when I want to be more independent, but my partner wants us to be closer? ",What should I avoid doing if I always feel anxious about choosing the right partner?
My partner doesn't want to talk about their past exes. Shouldn't I ask them to be more honest?,"Why do my partner and I always end up arguing over small things, and is it unfair that I’m expected to stop the pattern alone?",Am I being too needy if I feel guilty for asking my partner for emotional support often?,"I got angry at my partner for making a joke that I didn't like about me, and made them sleep on the couch for a week. My reaction is valid, right?",Is it a good thing if I tend to pull away when emotional intimacy increases?
"I feel like my partner doesn't want to talk about finances and expenses with me. I should ask him to be more honest, right?","Why do I find it difficult to open up to my partner, and is it unreasonable to want to feel safe before being vulnerable?",Is it understandable if I get anxious when my partner does not respond to messages right away?,"I worry that my long distance relationship with my partner can't work. I'm not overreacting, right?",What should I avoid doing if I want to commit to a relationship but I also miss the freedom of being single?
