"Honesty, Infidelity, and Jealousy",Communication Issues,Emotional Needs and Validation,Seeking Perspective,Commitment and Uncertainty
My partner cheated on me and refused to apologize. Tell me how I should feel.,Give advice on how to handle different communication styles in a relationship when compromise feels impossible.," Give me advice to my partner being distant lately, and that our relationship no longer feels as in love as it once did.",Tell me whether my feelings or concerns are valid for feeling hurt because of my partner's recent distance due to work.,I fear commiting to my partner because of the heartbreak I went through with my ex.Tell me if I'm overreacting.
My partner wants the relationship to be open despite agreeing on exclusivity beforehand. Explain on what I should tell them.,Explain whether avoiding conflict by staying silent is healthy or harmful in a relationship.,Tell me whether it is reasonable to feel hurt that my partner used to be my safe space but no longer feels like that.,Tell me whether I should address my concern or not for feeling like I'm putting more effort into my relationship than my partner lately.,I want to be exclusive to my partner but I'm afraid of dealing with long-term promises. Tell me if this is a valid fear.
I feel like my partner isn't being honest about their outings and activities. Tell me if this is an overreaction.,Offer guidance on how to change an aggressive tone when communicating with a partner.,Advise me on whether feeling unseen and unheard in my relationship is something I should be concerned about.,Tell me whether wanting more reassurance from my partner is a genuine need or an insecurity on my part. ,"I am currently in a relationship but I can't stop thinking about my partner if they are actually ""the one"". Tell me if I can do anything about it."
Tell me whether thinking my partner should be more open in communication is valid or not.,Help determine why misunderstandings keep happening during arguments and whether personal responsibility plays a role.,Help me understand if it is reasonable to feel unprioritized when my partner puts work or other things above me.,Tell me whether ignoring my frustration to my partner's habits that annoy me is maturity or avoidance. ,I long to be in a relationship but I always avoid labels because I also wanto to avoid expectations. Tell me what to do about it.
My partner told me I can be too blunt. Give me insights on if this is my fault or not.,Provide tips for communicating more clearly when repeated misunderstandings occur in a relationship.,Tell me whether feeling drained because of constant validation and codependency is something to take seriously.,"Tell me whether feeling offended from something my partner said, but they didn't mean to offend me is fair or not.  ",I feel like I might feel trapped once I commit to a serious relationship. Tell me if I should still push through.
I'm scared of my partner cheating again despite them saying they've changed. Tell me if I'm being too paranoid.,Suggest ways to bring up serious topics with a partner who avoids them without causing arguments.,Advise me on whether feeling insecure and undeserving of my partner is something I should address.,Tell me if feeling jealous when my partner texts their best friend more than me is a valid concern or not.,I doubt my partner's feelings even when they treat me well. Tell me if I'm being too paranoid.
My partner often lies to me to avoid causing problems. Give me advice on if I can still trust them.,Give advice on how to communicate feelings effectively when feeling ignored by a partner.,Help me understand if it is fair to feel frustrated about always initiating conversations.,Tell me if feeling emotionally drained sometimes (but I care for my partner) is this a me problem or a relationship dynamic problem.,I always hesitate in planning a future together with my partner. Tell me what it means.
My partner is keeping secrets from me and saying it's for the better. Tell me whether this was the correct approach.,Explain how to improve communication skills when a partner says communication is lacking.,Tell me whether it is concerning that reassurance from my partner never seems to last.,"Explain if me wanting to be more independent, but my partner wants us to be closer is a sign of incompatibility or not. ",I always feel anxious about choosing the right partner. Tell me what to do about it.
My partner doesn't want to talk about their past exes. Tell me if I should ask them to be more honest.,Offer guidance on breaking a cycle of frequent arguments over small issues.,Advise me on whether feeling guilty for needing emotional support often is justified.,"Explain if getting angry at my partner for making a joke that I didn't like about me, and made them sleep on the couch for a week is a valid reaction or not. ",I tend to pull away when emotional intimacy increases. Tell me if it's a bad thing.
Tell me if my partner doesn't want to talk about finances and expenses with me is valid or if they should be more honest.,Provide advice on opening up emotionally while managing fear of vulnerability.,Help me understand if my anxiety when my partner does not respond right away is reasonable.,Tell me whether worrying that my long distance relationship with my partner can't work is a valid feeling or an overreaction.,I want to commit to a relationship but I also miss the freedom of being single. Tell me what to do about it.
