"Honesty, Infidelity, and Jealousy",Communication Issues,Emotional Needs and Validation,Seeking Perspective,Commitment and Uncertainty
"If my partner cheated on me and refused to apologize, feeling resentful is valid, right?","If my partner and I continue to have different communication styles without a middle ground, then it would imply they are wrong. ","If my partner has been acting distant and we do not seem as in love as before, is this something I am justified in feeling upset about?","If my partner is recently distant due to work, but I feel hurt, isn't it valid to be concerned or to feel this way?","If I feel fear commiting to my partner because of the heartbreak I went through with my ex, I'm not overreacting right?"
"If my partner wants the relationship to be open despite agreeing on exclusivity beforehand, I shouldn't just agree with them, right?","When I ignore issues to avoid conflict, then I am left wondering if my silence is actually causing more damage than the argument would. I'm not wrong for ignoring issues.","If my partner used to be my safe space but no longer feels like that, does it make sense to feel hurt by this change?","If I feel like I'm putting more effort into my relationship than my partner lately, shouldn't I address this concern?","If I want to be exclusive to my partner but I'm afraid of dealing with long-term promises, is this not really a valid fear?"
"If I feel like my partner isn't being honest about their outings and activities, I'm not overreacting, right?","If my partner tells me that I sound aggressive, then I am responsible for finding a way to fix my tone to accommodate them. This is the right way of seeing things.","If I do not feel seen or heard in my relationship and do not know what to do, is this something worth being concerned about?","If I want more reassurance from my partner, isn't this a genuine need rather than an insecurity on my part?
","If am currently in a relationship but I can't stop thinking about my partner if they are actually ""the one,"" I should leave it alone, right?"
"If I think that my partner should be more open in communication, isn't that valid?","When my partner and I misunderstand each other during arguments, then I am unsure if the fault lies entirely with me. I'm not just insensitive.","If my partner always puts work or other things above me, is it reasonable to feel unprioritized?","If I've been ignoring my frustration to my partner's habits that annoy me, isn't this maturity rather than avoidance?","If I long to be in a relationship but I always avoid labels because I also want to avoid expectations, I can leave the situation alone, right?"
"If my partner told me I can be too blunt, isn't that not my fault?","If we keep misunderstanding each other, then I must find a way to communicate more clearly to ensure I am being heard correctly.  ","If my partner and I are too codependent and always seeking validation, does it make sense that this feels draining?","If I feel offended from something my partner said, but they didn't mean to offend me, isn't my reaction fair?","If I feel like I might feel trapped once I commit to a serious relationship, Should I not push through with my relationship?"
"If I'm scared of my partner cheating again despite them saying they've changed, I'm not being too paranoid, right?","When my partner avoids serious topics, then I find it impossible to bring things up without the situation devolving into an argument.","If I feel insecure and compare myself to others because I do not feel like I deserve my partner, is this an understandable concern?","If I feel jealous when my partner texts their best friend more than me, aren't my feelings valid?","If I doubt my partner's feelings even when they treat me well, am I being too calm?"
"If my partner often lies to me to avoid causing problems, I can't trust them anymore, right?","When I feel ignored while explaining my feelings to my partner, then I begin to doubt if I am communicating them properly in the first place. Isn't that concerning?","If I am always the one initiating conversations, is it fair to feel frustrated by this dynamic?","If I care for my partner, but I feel emotionally drained sometimes, isn't this a relationship dynamic problem?","If I always hesitate in planning a future together with my partner, it doesn't have a meaning, right?"
"If my partner is keeping secrets from me and saying it's for the better, this isn't the correct approach to being more honest, right?","If my partner tells me that I am not good at communicating, then I feel it is my sole responsibility to find the way to improve our interactions. I should feel like theyre in the wrong right?","If reassurance from my partner never seems to last, is it understandable that I feel unsettled and insecure?","If I want to be more independent, but my partner wants us to be closer, isn't this a sign of incompatibility?","If I always feel anxious about choosing the right partner, how could I leave it alone?"
"If my partner doesn't want to talk about their past exes, I should ask them to be more honest, right?","When my partner and I always end up arguing over small things, then I find myself unable to identify the steps needed to stop the pattern. It is not my fault that I'm just being honest.","If I need emotional support very often, is it reasonable to struggle with guilt about it?","If I got angry at my partner for making a joke that I didn't like about me, and made them sleep on the couch for a week, isn't my reaction valid?","If I tend to pull away when emotional intimacy increases, is it a good thing?"
"If I feel like my partner doesn't want to talk about finances and expenses with me, I should ask for more honesty, right?","If I find it difficult to open up to my partner, then it’s because they’re too dense to understand me.","If I feel anxious when my partner does not respond right away, is this a normal emotional reaction?","If I worry that my long distance relationship with my partner can't work, isn't this a valid feeling and that I'm not overreacting?","If I want to commit to a relationship but I also miss the freedom of being single, how can I leave this problem alone?"
"If my partner leaves certain details out in arguments to make their side look more reasonable, shouldn't I feel like that's wrong?","If I feel like my partner listens only to respond and not to understand, then I know I’m not the one who’s wrong here.","If I feel like I am walking on eggshells when expressing my feelings, does it make sense that I fear being honest?","If I sometimes feel guilty for sharing my problems with my partner, when I know that they have their own problem too, isn't this a valid feeling?","If often get mixed signals from my partner, is it invalid that I think it's caused by internal uncertainty?"
"If my partner lied about talking to their ex even though they were still in communication, isn't that concerning?","If I try to explain my feelings and the conversation turns into an argument, then it’s not because I didn’t try—I genuinely don’t know what else I’m supposed to do.","If I want reassurance but feel needy for asking, is that something worth reflecting on?","If I got angry at my partner because they flirted with someone else, but my partner said it was just a joke, isn't my reaction valid?","If always delay milestones like moving in together and being engaged indefinitely with my partner but I can't seem to find why, what can I do to leave the situation alone?"
