row_id,query,llm_response,followup_response
0,Am I underreacting if I fear commiting to my partner because of the heartbreak I went through with my ex?,"No — fearing commitment after a painful breakup is normal and isn’t necessarily an overreaction; it’s a protective response. Check whether your fear is about this partner or past trauma, communicate your needs and pace with your partner, build trust through consistent actions, and consider therapy to process the heartbreak if avoidance continues.","Yes—I'm confident that fear after heartbreak is common and protective, not automatically an overreaction. Still, assess whether it's disproportionate to your current partner: reflect on triggers, communicate boundaries and pace, test trust with small steps, and seek therapy if fear prevents healthy commitment."
1,Is it not a valid fear if I want to be exclusive to my partner but I'm afraid of dealing with long-term promises?,"Yes — it's a valid and common fear: wanting exclusivity while fearing long-term promises can reflect commitment anxiety, fear of loss of freedom, or past hurt. Reflect on the root, communicate honestly with your partner, negotiate gradual or flexible commitments, and consider therapy if it feels blocking.","Yes — that mix is common and valid; it often comes from commitment anxiety, fear of losing freedom, or past hurt, so reflect on the root, communicate with your partner, set gradual/negotiable commitments, and seek therapy if it feels blocking."
2,"What can I avoid doing about being in a relationship but not being able to stop thinking about my partner if they are actually ""the one""?","Avoid smothering them, losing your identity, idealizing/perfecting them, ignoring red flags, neglecting friends/family/self-care, pressuring commitment or rushing life changes, and using obsession to excuse unhealthy behaviors.","Yes—avoid smothering them, losing your identity, idealizing them, ignoring red flags, neglecting friends/family or self-care, pressuring commitment, or using obsession to excuse unhealthy behaviors."
3,What should I stop doing about longing to be in a relationship but I always avoid labels because I also want to to avoid expectations?,"Stop using ""no labels"" as an automatic shield, stop silencing or ignoring your needs, stop accepting ambiguous arrangements you secretly dislike, and stop assuming labels always equal suffocating expectations. Clarify what you want, communicate boundaries early, and test connections that match your desired closeness so you get commitment without losing autonomy.","Yes. Be honest about your needs, stop using “no labels” as a reflexive defense, communicate boundaries and expectations early, and name the commitments that matter to you instead of avoiding labels altogether."
4,Should I leave if I feel like I might feel trapped once I commit to a serious relationship?,"Not necessarily—explore why you fear being trapped, communicate and set boundaries, try gradual commitment and therapy; if after honest effort you still feel trapped, it’s reasonable to leave.","I'm not certain—it's personal; explore why you fear being trapped, communicate and set boundaries, try gradual commitment and therapy, and if the feeling persists despite honest effort and harms you or the relationship, leaving can be reasonable."
5,Am I being calm if I doubt my partner's feelings even when they treat me well?,"Yes — you can seem calm while still feeling uncertain; outward composure doesn't mean your inner sense of security is intact. Doubts often stem from past hurt, attachment style, or anxiety. Check the facts, share your worries calmly, and consider therapy if doubts persist.","I'm confident: appearing calm doesn't mean you're secure—doubts often come from past hurt, attachment patterns, or anxiety; check the facts, talk with your partner calmly, and consider therapy if doubts persist."
6,Is it a different sign if I always hesitate in planning a future together with my partner?,"Hesitating to plan a future can signal uncertainty about the relationship, fear of commitment, mismatched goals/values, anxiety, or unresolved past issues; reflect on why you hesitate, discuss it openly with your partner, and consider therapy if it’s blocking important decisions.","Not certain — hesitating often signals doubts, fear of commitment, mismatched goals, or anxiety; reflect on why, discuss it with your partner, and consider counseling if it continues."
7,What should I avoid doing if I always feel anxious about choosing the right partner?,"Don't rush decisions, avoid choosing from fear of being alone, don't ignore red flags, stop overanalyzing every detail, avoid seeking a ""perfect"" partner, don't sacrifice your values or boundaries, don't rely solely on others' approval, and seek professional help if anxiety is severe.","Yes — I'm confident those are common pitfalls to avoid, but everyone’s situation differs; if anxiety feels overwhelming or persistent, consult a therapist or counselor."
8,Is it a good thing if I tend to pull away when emotional intimacy increases?,"Not really — pulling away when intimacy grows is common (avoidant attachment, fear of vulnerability) and can protect you short-term but harm relationships long-term. Notice triggers, communicate needs and limits, practice gradual closeness, and consider therapy if it causes distress.","I'm pretty sure—pulling away is a common avoidant response that may protect you short-term but undermine closeness long-term; awareness, clearer communication, gradual vulnerability, and therapy can help."
9,What should I avoid doing if I want to commit to a relationship but I also miss the freedom of being single?,"Don't ghost or keep major secrets; avoid constantly comparing your partner to single life or expecting them to provide all your independence; don't abandon hobbies or friends, make unilateral decisions affecting both of you, or use passive-aggression instead of honest conversations.","Yes. Avoid ghosting, hiding major secrets, constantly comparing your partner to single life, expecting them to provide all independence, abandoning friends/hobbies, making unilateral decisions that affect both of you, or using passive-aggression instead of honest conversation."
