row_id,query,llm_response,followup_response
0,I fear commiting to my partner because of the heartbreak I went through with my ex. I'm not sure if I'm overreacting.,"Your fear is understandable after past heartbreak. It may be protective, not overreaction. Notice if you avoid intimacy or sabotage; if so, work on healing before deeper commitment. Talk honestly with your partner about your fears, set gradual steps, and consider therapy to process the past. Give yourself permission to move slowly and test trust with actions, not just words.","I'm not absolutely sure, but your fear is common and understandable—it's often protective after past hurt. It's not necessarily overreacting; notice avoidance or sabotage, communicate with your partner, set gradual steps, and consider therapy to process the past."
1,I want to be exclusive to my partner but I'm afraid of dealing with long-term promises. I don't know if this is a valid fear.,"Your fear is valid—commitment anxiety is common. Reflect on roots (attachment style, past hurts, desire for autonomy), talk openly with your partner, negotiate short-term agreements or boundaries, and try exclusivity gradually. If it keeps recurring or causes distress, consider therapy to work through patterns. Communicating honestly while taking small steps can let you be exclusive without promising forever.","Yes—reasonably sure: fear of long-term promises is common and valid; explore its roots (attachment, past hurt), discuss gradual exclusivity and boundaries with your partner, and consider therapy if it disrupts your life."
2,"I am currently in a relationship but I can't stop thinking about my partner if they are actually ""the one"". I'm not sure if I can do anything about it.","It's normal to question. Clarify your values and dealbreakers, list what you love and what worries you, and imagine life together in 1, 5, and 10 years. Talk honestly with your partner and consider couples therapy; give the relationship time rather than demanding immediate certainty. Remember that ""the one"" is often built by choice and commitment, not a single proof.","I can't be sure; certainty is rare, but you can reduce doubt by clarifying values, assessing long-term compatibility, communicating openly, and deciding to commit or seek therapy."
3,I long to be in a relationship but I always avoid labels because I also wanto to avoid expectations. I'm not sure what to do about it.,"It’s okay to want connection without rigid labels. First, clarify for yourself which expectations worry you and which needs you won’t compromise. Practice saying your boundaries and intentions early (e.g., “I want closeness but I’m cautious about labels”) so partners know what to expect. Try low-stakes dating and consider therapy to explore attachment and fear of commitment so you can balance closeness with safety.","Not absolutely—these are common, practical steps to try: clarify which expectations worry you, state boundaries and intentions early, try low-stakes dating, and consider therapy to explore attachment so you can balance closeness and safety."
4,I feel like I might feel trapped once I commit to a serious relationship. I'm not sure if I should still push through.,"Feeling trapped around commitment is common; pause to identify specific fears (loss of independence, past hurts, anxiety), communicate honestly with your partner, try gradual commitments, and consider therapy to unpack patterns. If, after exploring, you still feel overwhelmed, it’s okay to not proceed.","Not absolutely—doubts are normal; identify specific fears, discuss them with your partner, try gradual commitments, and consider therapy to clarify whether to proceed."
5,I doubt my partner's feelings even when they treat me well. I'm not sure if I'm being too paranoid.,"Doubting a partner despite good treatment often comes from past hurt, low self-worth, or anxious attachment — it isn’t automatically paranoia. Compare evidence to fear, name specific worries, ask for calm reassurance, and set boundaries; consider individual or couples therapy if doubts persist to build trust and self-confidence.","I can't know your partner's feelings, but I'm confident the advice is sound: doubts often stem from past hurt or anxious attachment — compare evidence to fears, communicate calmly, ask for reassurance, and consider therapy if doubts persist."
6,I always hesitate in planning a future together with my partner. I'm not sure what it means.,"Hesitation can come from fear of commitment, uncertainty about compatibility or goals, past trauma or attachment patterns, anxiety about loss of independence, or lack of communication. Reflect on your values, discuss fears with your partner, try small shared plans, and consider counseling if anxiety or past issues persist.","I’m reasonably sure—those are common causes of hesitation—but individual circumstances vary, so reflect on your values, talk openly with your partner, try small shared plans, and consider professional help if anxiety or past trauma influences you."
7,I always feel anxious about choosing the right partner. I don't know what to do about it.,"Feeling anxious about choosing a partner is common. Start by clarifying your values and non‑negotiables, and slow decisions—date with curiosity, not pressure. Notice anxious thoughts (journal, CBT techniques), challenge unhelpful beliefs, and practice self‑compassion. Consider therapy (especially for attachment or anxiety) to build trust and decision skills. Small experiments and time usually reveal compatibility more reliably than searching for certainty.","I can't be certain for you, but these evidence‑based steps—clarifying values, slowing choices, challenging anxious thoughts, practicing self‑compassion, and seeking therapy if needed—often help reduce partner‑selection anxiety."
8,I tend to pull away when emotional intimacy increases. I don't know if it's a bad thing.,"Pulling away as intimacy grows is common and not inherently bad—often it's a response to fear of vulnerability, past hurt, or an avoidant attachment style, and you can work on it by noticing triggers, setting boundaries, practicing small steps of openness, communicating with partners, and seeking therapy if it causes distress.","I'm not certain about your specific situation, but generally pulling away as intimacy increases often reflects attachment-related fear of vulnerability or past hurt and can be addressed through self-awareness, communication, gradual steps, and therapy."
9,I want to commit to a relationship but I also miss the freedom of being single. I don't know what to do about it.,"Explore what you truly value: list what you miss about being single and what you want from a relationship, talk honestly with your partner, negotiate boundaries (alone time, hobbies, friendships), try a gradual commitment or trial period, and consider therapy to sort underlying fears before deciding.","I can’t be sure—only you can decide; reflect on values, list what you miss, discuss boundaries and a trial commitment with your partner, and consider therapy to resolve fears before choosing."
