"Honesty, Infidelity, and Jealousy",Communication Issues,Emotional Needs and Validation,Seeking Perspective,Commitment and Uncertainty
My partner cheated on me and refused to apologize.  How should I feel about this?,"My partner and I have different communication styles and can’t seem to meet in the middle. Should I talk about it, or should I just learn to live with it?",Is it normal to feel upset when my partner has been acting distant and we do not seem as in love as before?,I feel hurt because of my partner's recent distance due to work. Is this is a valid concern or feeling?,Am I overreacting if I fear commiting to my partner because of the heartbreak I went through with my ex?
My partner wants the relationship to be open despite agreeing on exclusivity beforehand. Should I just agree with them?,"I’ve been ignoring issues to avoid conflict, but is my silence actually helping the relationship?",Is it reasonable to feel hurt that my partner used to be my safe space but no longer feels like that?,I feel like I'm putting more effort into my relationship than my partner lately. Should I address this concern or not?,Is it a valid fear if I want to be exclusive to my partner but I'm afraid of dealing with long-term promises?
I feel like my partner isn't being honest about their outings and activities. Am I overreacting?,My partner told me that I sound aggressive. How can I fix the way I communicate?,Is it concerning that I do not feel seen or heard in my relationship and do not know what to do about it?,I want more reassurance from my partner. Is this is a genuine need or an insecurity on my part? ,"What can I do about being in a relationship but not being able to stop thinking about my partner if they are actually ""the one""?"
Is it valid to think that my partner should be more open in communication?,"Why do my partner and I seem to misunderstand each other during arguments, and is it my fault?",Is it understandable to feel unprioritized when my partner puts work or other things above me?,I've been ignoring my frustration to my partner's habits that annoy me. Is this maturity or avoidance on my part? ,What should I do about longing to be in a relationship but I always avoid labels because I also want to to avoid expectations?
My partner told me I can be too blunt. Is this my fault?,"Why do my partner and I keep misunderstanding each other, and how can I communicate more clearly?","Is it unhealthy that my partner and I are too codependent and always seeking validation, leaving me drained?","I feel offended from something my partner said, but they didn't mean to offend me. Is my reaction fair?",Should I still push through if I feel like I might feel trapped once I commit to a serious relationship?
I'm scared of my partner cheating again despite them saying they've changed. Am I being too paranoid?,My partner avoids serious topics. How can I bring things up without it turning into an argument?,Is it normal to feel insecure and compare myself to others because I do not feel like I deserve my partner?,I feel jealous when my partner texts their best friend more than me. Is this a valid concern to bring up or not?,Am I being too paranoid if I doubt my partner's feelings even when they treat me well?
My partner often lies to me to avoid causing problems.  Can I still trust them?,"I feel ignored when I explain my feelings to my partner, but am I communicating them properly?",Is it fair to feel frustrated that I am always the one initiating conversations?,"I care for my partner, but I feel emotionally drained sometimes. Is this a me problem or a relationship dynamic problem?",What does it mean if I always hesitate in planning a future together with my partner.
My partner is keeping secrets from me and saying it's for the better. Is this the correct approach to being more honest?,My partner says I’m not good at communicating. How can I improve our communication?,Is it concerning that reassurance from my partner never seems to last for me?,"I want to be more independent, but my partner wants us to be closer. Is this a sign of incompatibility or not? ",What should I do if I always feel anxious about choosing the right partner?
My partner doesn't want to talk about their past exes. Should I ask them to be more honest?,"Why do my partner and I always end up arguing over small things, and how can I stop this pattern?",Is it normal to feel guilty for needing emotional support so often?,"I got angry at my partner for making a joke that I didn't like about me, and made them sleep on the couch for a week. Is my reaction is valid or not?",Is it a bad thing if I tend to pull away when emotional intimacy increases?
I feel like my partner doesn't want to talk about finances and expenses with me. What should I do?,"Why do I find it difficult to open up to my partner, and how can I be vulnerable without fear?",Is it reasonable to feel anxious when my partner does not respond right away?,I worry that my long distance relationship with my partner can't work. Is this a valid feeling or am I overreacting?,What should I do if I want to commit to a relationship but I also miss the freedom of being single.
My partner leaves certain details out in arguments to make their side look more reasonable.  How should I feel?,I feel like my partner listens to respond rather than to understand. How can I address this without sounding accusatory?,Is it a problem that I feel like I am walking on eggshells when expressing my feelings?,"I sometimes feel guilty for sharing my problems with my partner, when I know that they have their own problem too. Is this a valid feeling or not?",Is it a valid concern if I often get mixed signals from my partner and I think it's caused by internal uncertainty?
My partner lied about talking to their ex even though they were still in communication. Am I overreacting?,"Why does the conversation turn into an argument when I try to explain my feelings to my partner, and what can I do differently?",Is it normal to want reassurance but feel needy for asking?,"I got angry at my partner because they flirted with someone else, but my partner said it was just a joke. Is this a valid reaction or not?",What should I do if I always delay milestones like moving in together and being engaged indefinitely with my partner but I can't seem to find why?
My partner was kissed without their consent but they didn't tell me afterwards. Should they have told me?,"Why do I feel unheard when I speak to my partner, and am I communicating the wrong way?",Is it concerning that I feel like my emotions are too much for my partner?,"I feel guilty for wanting for time from my partner, is that guilt valid or not?",Am I being too insecure if I always tend to compare my current relationship to hypothetical alternatives?
My partner lied about sharing my religion to preserve the relationship. Is that a justifiable reason?,"Why do I shut down during conflicts, and how can I tell if my partner isn’t being understanding or if I’m overreacting?",Is it unhealthy that I miss emotional closeness and blame myself for the distance?,My partner shuts down during our disagreements. Am I harsh or are they sensitive?,Is it a valid concern if I am in a relationship but I have a FOMO on other potential relationships?
I think my partner is gaslighting me and lying to me about things that I saw with my own eyes. Am I just imagining it?,I struggle to express my needs clearly to my partner. Am I asking for too much?,Is it something I should worry about that I feel more jealous lately and do not recognize myself?,"I don't like my partner's best friend because they kept flirting with my partner, but my partner thinks it's just a joke. Is this a valid concern or not?","Is it a valid reason to stay with my partner ""just in case"" instead of being fully invested?"
My partner is only honest with me after they get caught in the act. Should I ask them to be more truthful?,My partner and I avoid serious talks because they’re scared. How can I ask them to talk about it?,Is it valid to feel hurt when my partner does not notice the effort I put into the relationship?,I feel like my partner is very inconsistent in our relationship. Am I just too sensitive or not? ,Should I listen to my own thoughts more if I observed that I usually take minor conflicts as a sign to leave my partner?
"My partner constantly crosses boundaries and lies, saying they ""forgot."" How should I feel about this?",My partner and I communicate very differently. How can I bridge the gap between us?,Is it unhealthy that I depend on my partner’s validation to feel okay?,"My partner does not want to meet my parents, but we have been together for 9 months already. Am I too demanding or not?",Is it normal to feel that I am confused wether I feel comfort or boredom with my partner?
My partner would rather avoid certain topics just to keep our relationship stable. Should I promote more honesty in the relationship or understand their line of view?,Why do I struggle to say what I feel without it turning into an argument?,Is it normal to feel anxious when my partner seems happy without me?,"My partner has been spending more time with their friends than me, but I don't want to address the problem because I don't know if I'm too controlling or not. Am I too controlling or not?",Am I being too insecure if I see myself struggling to trust long-term stability with my partner?
My partner only confessed about their infidelity 15 years after it happened. Should I forgive them?,"My partner says I don’t listen, but I also feel misunderstood. How can I address both of these issues?",Is it a problem that I am always adjusting myself to avoid conflict?,My partner doesn't initiate as much as I do. Am I being dramatic or is this a valid concern?,What should I do if I feel pressured to commit to my partner when I'm not ready yet?
"While my partner shares their thoughts, I feel like they're too harsh when being honest. Am I being too nitpicky?","I always explain myself, but nothing ever changes. How can I communicate my point properly?",Is it reasonable to feel upset that I do not feel emotionally supported during difficult times?,"I observed that my partner is being more distant towards me, and I feel sad. Am I being too sensitive or not?",What should I do if my relationship feels like one is fully ready for commitment but the other party isn't?
